question,option1,option2,option3,option4,correct,difficulty
When did Canada leave the confederation to become their own nation?,"July 1st, 1763","July 1st, 1832","July 1st, 1867","July 1st, 1902","July 1st, 1867",hard
"When was the city of Rome, Italy founded?",524 BCE,697 BCE,753 BCE,902 BCE,753 BCE,hard
In which country is Tallinn located?,Estonia,Finland,Poland,Sweden,Estonia,hard
What is the codename of the eighth generation Intel Core micro-architecture launched in October 2017?,Broadwell,Coffee Lake,Sandy Bridge,Skylake,Coffee Lake,hard
The words bungalow and shampoo originate from the languages of which country?,China,Ethiopia,India,Papua New Guinea,India,hard
What was the original name of New York City?,New Amsterdam,New London,New Paris,New Rome,New Amsterdam,hard
What is the area of Vatican City?,0.10km^2,0.44km^2,0.86km^2,12.00km^2,0.44km^2,hard
What is the weight of a Gold Bar in Fallout: New Vegas?,30 Pounds,32.50 Pounds,35 Pounds,40 Pounds,35 Pounds,hard
What year was Queen Elizabeth II born?,1923,1926,1929,1930,1926,hard
What is the full name of the footballer Cristiano Ronaldo?,Cristiano Armando Diego Ronaldo,Cristiano Luis Armando Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo los Santos Diego,Cristiano Ronaldo dos Santos Aveiro,hard
Which of these is NOT a city in India?,Ahmedabad,Ghaziabad,Hyderabad,Islamabad,Islamabad,hard
Which RAID array type is associated with data mirroring?,RAID 0,RAID 1,RAID 10,RAID 5,RAID 1,hard
What was the third country to have a McDonalds restaurant?,Australia,Costa Rica,France,Japan,Costa Rica,hard
On which day did ARPANET suffer a 4 hour long network crash?,"December 9, 1991","November 21, 1969","October 27, 1980","October 29, 1969","October 27, 1980",hard
"In which city, is the Big Nickel located in Canada?","Calgary, Alberta","Halifax, Nova Scotia ","Sudbury, Ontario","Victoria, British Columbia","Sudbury, Ontario",hard
Which car company is the only Japanese company which won the 24 Hours of Le Mans?,Mazda,Nissan,Subaru,Toyota,Mazda,hard
Which of these is not an additional variation of the color purple?,Byzantium,Kobicha,Palatinate,Pomp and Power,Kobicha,hard
