question,option1,option2,option3,option4,correctAnswer,difficulty
What is the official national language of Pakistan?,Indian,Pashto,Punjabi,Urdu,Urdu,Medium
In which years did the Battle of Gallipoli take place?,1914 - 1915,1914 - 1918,1915 - 1916,1915 - 1918,1915 - 1916,Medium
What is the scientific name of the Budgerigar?,Ara macao,Melopsittacus undulatus,Nymphicus hollandicus,Pyrrhura molinae,Melopsittacus undulatus,Hard
Painter Piet Mondrian (1872 - 1944) was a part of what movement?,Cubism,Impressionism,Neoplasticism,Precisionism,Neoplasticism,Hard
What was Napoleon Bonapartes name before he changed it?,Naapolion van Bonijpaart,Napole&atilde;o do Boaparte,Napoleona de Buenoparte,Napoleone di Buonaparte,Napoleone di Buonaparte,Hard
Bohdan Khmelnytsky was which of the following?,General Secretary of the Communist Party of the USSR,Grand Prince of Novgorod,Leader of the Ukrainian Cossacks,Prince of Wallachia,Leader of the Ukrainian Cossacks,Hard
When did Canada leave the confederation to become their own nation?,"July 1st, 1763","July 1st, 1832","July 1st, 1867","July 1st, 1902","July 1st, 1867",Hard
"When was the city of Rome, Italy founded?",524 BCE,697 BCE,753 BCE,902 BCE,753 BCE,Hard
In which country is Tallinn located?,Estonia,Finland,Poland,Sweden,Estonia,Hard
What is the codename of the eighth generation Intel Core micro-architecture launched in October 2017?,Broadwell,Coffee Lake,Sandy Bridge,Skylake,Coffee Lake,Hard
The words bungalow and shampoo originate from the languages of which country?,China,Ethiopia,India,Papua New Guinea,India,Hard
What was the original name of New York City?,New Amsterdam,New London,New Paris,New Rome,New Amsterdam,Hard
What is the area of Vatican City?,0.10km^2,0.44km^2,0.86km^2,12.00km^2,0.44km^2,Hard
What is the weight of a Gold Bar in Fallout: New Vegas?,30 Pounds,32.50 Pounds,35 Pounds,40 Pounds,35 Pounds,Hard
What year was Queen Elizabeth II born?,1923,1926,1929,1930,1926,Hard
What is the full name of the footballer Cristiano Ronaldo?,Cristiano Armando Diego Ronaldo,Cristiano Luis Armando Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo los Santos Diego,Cristiano Ronaldo dos Santos Aveiro,Hard
Which of these is NOT a city in India?,Ahmedabad,Ghaziabad,Hyderabad,Islamabad,Islamabad,Hard
Which RAID array type is associated with data mirroring?,RAID 0,RAID 1,RAID 10,RAID 5,RAID 1,Hard
What was the third country to have a McDonalds restaurant?,Australia,Costa Rica,France,Japan,Costa Rica,Hard
On which day did ARPANET suffer a 4 hour long network crash?,"December 9, 1991","November 21, 1969","October 27, 1980","October 29, 1969","October 27, 1980",Hard
"In which city, is the Big Nickel located in Canada?","Calgary, Alberta","Halifax, Nova Scotia ","Sudbury, Ontario","Victoria, British Columbia","Sudbury, Ontario",Hard
Which car company is the only Japanese company which won the 24 Hours of Le Mans?,Mazda,Nissan,Subaru,Toyota,Mazda,Hard
Which of these is not an additional variation of the color purple?,Byzantium,Kobicha,Palatinate,Pomp and Power,Kobicha,Hard
